ts_ms,label
174000,alcohol
174000,obscene
174500,obscene
174500,phobic
175000,blood
175000,obscene
175000,phobic
175500,alcohol
175500,obscene
175500,phobic
176000,alcohol
176000,obscene
176500,alcohol
176500,blood
176500,obscene
176500,phobic
177000,alcohol
177000,obscene
177000,phobic
177500,obscene
178000,obscene
178500,blood
178500,obscene
179000,obscene
179500,obscene
179500,phobic
180000,obscene
180000,phobic
180500,obscene
180500,phobic
181000,obscene
181000,phobic
181500,obscene
181500,phobic
182000,obscene
182000,phobic
182500,obscene
182500,phobic
183000,obscene
183000,phobic
183500,phobic
184000,obscene
184500,obscene
184500,phobic
185000,obscene
185000,phobic
185500,obscene
186000,obscene
186000,phobic
186500,obscene
186500,phobic
187000,obscene
187000,phobic
187500,obscene
188000,obscene
188500,obscene
188500,phobic
189000,obscene
189500,obscene
189500,phobic
190000,obscene
190000,phobic
190500,obscene
190500,phobic
191000,obscene
191500,obscene
191500,phobic
192000,obscene
192000,phobic
192500,obscene
192500,phobic
193000,obscene
193000,phobic
193500,obscene
193500,phobic
194000,obscene
194000,phobic
194500,obscene
195000,obscene
195000,phobic
195500,obscene
195500,phobic
196000,obscene
196500,phobic
197000,obscene
197000,phobic
197500,obscene
198000,obscene
198000,phobic
198500,obscene
198500,phobic
199000,obscene
199000,phobic
199500,obscene
199500,phobic
200000,obscene
200000,phobic
200500,obscene
200500,phobic
201000,obscene
201000,phobic
201500,obscene
201500,phobic
202000,obscene
202000,obscene
202000,phobic
202500,obscene
202500,phobic
203000,obscene
203000,phobic
203500,obscene
203500,phobic
204000,obscene
204000,phobic
204500,obscene
204500,phobic
205000,obscene
205000,phobic
205500,obscene
205500,phobic
206000,obscene
206000,phobic
206500,obscene
206500,phobic
207000,obscene
207000,phobic
207500,obscene
207500,obscene
207500,phobic
208000,obscene
208000,phobic
208500,obscene
208500,phobic
209000,obscene
209000,phobic
209500,obscene
209500,phobic
210000,obscene
210000,phobic
210500,obscene
210500,phobic
211000,obscene
211000,phobic
211500,obscene
212000,obscene
212000,phobic
212500,obscene
212500,phobic
212500,violence
213000,obscene
213000,phobic
213500,blood
213500,obscene
213500,phobic
214000,blood
214000,obscene
214000,phobic
214500,obscene
214500,phobic
215000,obscene
215000,phobic
215500,obscene
216000,obscene
216000,phobic
216500,alcohol
216500,blood
216500,obscene
216500,phobic
217000,alcohol
217000,blood
217000,obscene
217000,phobic
217500,alcohol
217500,blood
217500,obscene
217500,phobic
218000,alcohol
218000,blood
218000,obscene
218000,phobic
218500,alcohol
218500,blood
218500,obscene
219000,alcohol
219000,blood
219000,obscene
219000,phobic
219500,obscene
219500,phobic
220000,obscene
220000,phobic
220500,obscene
220500,phobic
221000,obscene
221000,obscene
221000,phobic
221500,obscene
221500,phobic
222000,obscene
222000,phobic
222500,obscene
222500,phobic
223000,obscene
223000,phobic
223500,obscene
223500,phobic
224000,obscene
224000,phobic
224500,obscene
224500,phobic
225000,obscene
225000,phobic
225500,obscene
225500,phobic
226000,obscene
226000,phobic
226500,obscene
226500,phobic
227000,obscene
227000,phobic
227500,obscene
227500,phobic
228000,obscene
228000,phobic
228500,obscene
228500,phobic
229000,obscene
229000,phobic
229500,obscene
230000,obscene
230500,obscene
231000,obscene
231500,obscene
