id,label,start_ms,end_ms,duration_ms,n_keyframes
violence-433,violence,622000,622200,200,1
violence-434,violence,623500,623700,200,1
violence-435,violence,624500,624700,200,1
violence-436,violence,626000,626200,200,1
violence-437,violence,627500,627700,200,1
violence-438,violence,629000,631200,2200,5
violence-439,violence,630500,631200,700,2
clown-96,clown,631500,631700,200,1
clown-97,clown,633000,633200,200,1
violence-440,violence,636000,636200,200,1
spider-173,spider,637000,637200,200,1
clown-98,clown,637500,638200,700,2
violence-441,violence,637500,646700,9200,19
violence-442,violence,638000,638200,200,1
clown-99,clown,639000,649200,10200,21
violence-443,violence,639000,640700,1700,4
violence-444,violence,644500,646200,1700,4
violence-445,violence,647000,649700,2700,6
violence-446,violence,647500,647700,200,1
violence-447,violence,648500,648700,200,1
snake-149,snake,651500,651700,200,1
violence-448,violence,653000,653200,200,1
violence-449,violence,654000,654200,200,1
violence-450,violence,657500,658200,700,2
violence-451,violence,659000,659700,700,2
